Timestamp           | RAM Used(GB) | RAM Total(GB) | GPU Mem Used(GB) | GPU Mem Total(GB) | GPU Util(%) | CPU Util(%)
Start Time:    Mon Nov 25 12:39:24 CST 2024
CPU Cores:     1
------------------------------------------------------------------------------------------------------
2024-11-25 12:39:24 |        66.00 |      1007.00 |            0.00 |        40536.00 |        0.0 |        1.2
2024-11-25 12:40:24 |       129.00 |      1007.00 |          600.00 |        40536.00 |        0.0 |        1.4
2024-11-25 12:41:24 |       129.00 |      1007.00 |          600.00 |        40536.00 |        0.0 |        1.0
2024-11-25 12:42:25 |       181.00 |      1007.00 |          600.00 |        40536.00 |        0.0 |        1.0
2024-11-25 12:43:25 |       179.00 |      1007.00 |        22262.00 |        40536.00 |       92.0 |        1.0
2024-11-25 12:44:26 |       180.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.1
2024-11-25 12:45:26 |       182.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        1.1
2024-11-25 12:46:27 |       183.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.1
2024-11-25 12:47:27 |       184.00 |      1007.00 |        22262.00 |        40536.00 |       65.0 |        1.4
2024-11-25 12:48:28 |       185.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.0
2024-11-25 12:49:28 |       186.00 |      1007.00 |        22262.00 |        40536.00 |       76.0 |        1.2
2024-11-25 12:50:28 |       188.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.1
2024-11-25 12:51:29 |       189.00 |      1007.00 |        22262.00 |        40536.00 |       92.0 |        1.1
2024-11-25 12:52:29 |       190.00 |      1007.00 |        22262.00 |        40536.00 |       95.0 |        1.2
2024-11-25 12:53:30 |       191.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        1.1
2024-11-25 12:54:30 |       192.00 |      1007.00 |        22262.00 |        40536.00 |       76.0 |        1.0
2024-11-25 12:55:31 |       193.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.2
2024-11-25 12:56:31 |       194.00 |      1007.00 |        22262.00 |        40536.00 |       67.0 |        1.0
2024-11-25 12:57:32 |       196.00 |      1007.00 |        22262.00 |        40536.00 |       88.0 |        1.1
2024-11-25 12:58:32 |       197.00 |      1007.00 |        22262.00 |        40536.00 |       73.0 |        1.0
2024-11-25 12:59:33 |       198.00 |      1007.00 |        22262.00 |        40536.00 |       69.0 |        1.1
